task,language_variety,dialect_words,interacting_factors,lenient_coder_error_types,n_subj,mean_prop,sd_prop,se_prop,ci
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Correct,56,0.49047619047619045,0.3795645716729423,0.05072144940563397,0.10164805608222512
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Dialect Word Match,56,0,0,0,0
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Dialect Word Mismatch,56,0.0035714285714285713,0.015147185528580203,0.002024127807923123,0.00405644277417883
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Standard Word Mismatch,56,0.049999999999999996,0.1310408988511493,0.01751107668413929,0.0350929818786255
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Other Mismatch,56,0.45595238095238094,0.3494935523664824,0.046703040422925494,0.09359498452330595
Reading,Variety Match,Contrastive,Reading: Variety Match,Correct,56,0.444047619047619,0.3660936096472199,0.04892131638525915,0.09804050889351638
Reading,Variety Match,Contrastive,Reading: Variety Match,Dialect Word Match,56,0.017857142857142856,0.0391651699078471,0.0052336659746411674,0.010488500993957527
Reading,Variety Match,Contrastive,Reading: Variety Match,Dialect Word Mismatch,56,0.008333333333333333,0.025623537159526907,0.003424089181722159,0.0068620280621470905
Reading,Variety Match,Contrastive,Reading: Variety Match,Standard Word Mismatch,56,0.05119047619047619,0.1172003870980413,0.015661560504219706,0.03138646862664881
Reading,Variety Match,Contrastive,Reading: Variety Match,Other Mismatch,56,0.4785714285714286,0.3397223210377196,0.04539730471295614,0.09097823168538749
Reading,Variety Match,Untrained,Reading: Variety Match,Correct,56,0.38244047619047616,0.3852641707205346,0.051483090365565184,0.10317441867471457
Reading,Variety Match,Untrained,Reading: Variety Match,Dialect Word Match,56,0,0,0,0
Reading,Variety Match,Untrained,Reading: Variety Match,Dialect Word Mismatch,56,0.001488095238095238,0.011135885079684358,0.001488095238095238,0.002982209498942183
Reading,Variety Match,Untrained,Reading: Variety Match,Standard Word Mismatch,56,0.047619047619047616,0.12498196118036653,0.01670141708085757,0.03347038777442887
Reading,Variety Match,Untrained,Reading: Variety Match,Other Mismatch,56,0.5684523809523809,0.3567909521691708,0.0476781964899245,0.09554924095226802
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Correct,56,0.5452380952380952,0.3216390204121065,0.04298082202141759,0.08613549215350116
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Dialect Word Match,56,0,0,0,0
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Dialect Word Mismatch,56,0.009523809523809525,0.03223291856101522,0.00430730492253948,0.008632031960050905
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Standard Word Mismatch,56,0.015476190476190477,0.03811958096703652,0.0050939432752156975,0.010208490447066844
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Other Mismatch,56,0.42976190476190473,0.30215913737655575,0.040377713155222573,0.08091874540986929
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Correct,56,0.44761904761904764,0.35109394080068557,0.04691690132315921,0.09402357134476884
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Dialect Word Match,56,0.060714285714285714,0.10807912231831218,0.014442680227798465,0.028943777967232808
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Dialect Word Mismatch,56,0.0023809523809523807,0.012483755678647174,0.0016682120232032634,0.0033431716025207284
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Standard Word Mismatch,56,0.019047619047619046,0.05350621331130492,0.007150068509805221,0.014329057497235153
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Other Mismatch,56,0.47023809523809523,0.3286752455348852,0.043921077153762214,0.08801980554643724
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Correct,56,0.38839285714285715,0.36593480187156174,0.048900094803585294,0.09799797989346973
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Dialect Word Match,56,0,0,0,0
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Dialect Word Mismatch,56,0.020833333333333336,0.09024377759125222,0.01205933203695334,0.024167441458608007
