task,language_variety,dialect_words,total,n_obs,n_subj,total_prop,mean_prop,sd_prop,se_prop
Reading,Variety Match,Non-contrastive,10,568,56,0.017605633802816902,0.015588032998747284,0.04013541830508273,0.00536332087044553
Reading,Variety Match,Contrastive,26,588,56,0.04421768707482993,0.042521466628609485,0.08409903194258582,0.011238205860304067
Reading,Variety Match,Untrained,3,491,55,0.006109979633401222,0.004545454545454545,0.024939132787299687,0.003362791979029996
Reading,Variety Mismatch,Non-contrastive,20,538,56,0.03717472118959108,0.02797311815168958,0.06479655161847277,0.008658803428597771
Reading,Variety Mismatch,Contrastive,58,601,56,0.09650582362728785,0.08139628228913943,0.1588769126010495,0.021230820486484097
Reading,Variety Mismatch,Untrained,7,477,56,0.014675052410901468,0.010416666666666666,0.0551913567380424,0.007375255272320432
