task,language_variety,dialect_words,interacting_factors,lenient_coder_error_types,n_subj,mean_prop,sd_prop,se_prop,ci
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Correct,80,0.4269047619047619,0.2681298658496154,0.02997783034188197,0.059669378706242095
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Dialect Word Match,80,0,0,0,0
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Dialect Word Mismatch,80,0.010833333333333334,0.026926476964950718,0.003010471644410603,0.005992193917508922
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Standard Word Mismatch,80,0.060833333333333336,0.08759563790846388,0.009793490044789138,0.019493454318537204
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Other Mismatch,80,0.5014285714285714,0.2818509144929578,0.03151189021633673,0.06272284850585615
Reading,Variety Match,Contrastive,Reading: Variety Match,Correct,80,0.37029761904761904,0.2877267319243074,0.03216882657633051,0.06403044762171362
Reading,Variety Match,Contrastive,Reading: Variety Match,Dialect Word Match,80,0.024226190476190478,0.04410931931336584,0.0049315718212965196,0.009816048168464632
Reading,Variety Match,Contrastive,Reading: Variety Match,Dialect Word Mismatch,80,0.003333333333333333,0.014621333853545011,0.0016347148209122798,0.0032538184589511543
Reading,Variety Match,Contrastive,Reading: Variety Match,Standard Word Mismatch,80,0.06672619047619048,0.07938052642521745,0.00887501265882523,0.01766527081255373
Reading,Variety Match,Contrastive,Reading: Variety Match,Other Mismatch,80,0.5354166666666667,0.29692961134387896,0.0331977397748753,0.06607844811406564
Reading,Variety Match,Untrained,Reading: Variety Match,Correct,80,0.31344696969696967,0.3481894793182607,0.03892876724029441,0.07748577293744374
Reading,Variety Match,Untrained,Reading: Variety Match,Dialect Word Match,80,0,0,0,0
Reading,Variety Match,Untrained,Reading: Variety Match,Dialect Word Mismatch,80,0.0010416666666666667,0.009316949906249131,0.0010416666666666664,0.0020733856356563852
Reading,Variety Match,Untrained,Reading: Variety Match,Standard Word Mismatch,80,0.026799242424242423,0.09228866087503945,0.010318185963450669,0.020537835420143948
Reading,Variety Match,Untrained,Reading: Variety Match,Other Mismatch,80,0.6587121212121212,0.3371815994324185,0.0376980488546496,0.07503608926800298
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Correct,80,0.4830860805860806,0.271689830404992,0.030375846479047567,0.06046161001013834
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Dialect Word Match,80,0,0,0,0
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Dialect Word Mismatch,80,0.0125,0.028251930718285953,0.003158661879085093,0.006287159201270815
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Standard Word Mismatch,80,0.04928571428571429,0.07570330990537641,0.008463887353507744,0.016846946362153607
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Other Mismatch,80,0.4551282051282051,0.27374732042732863,0.03060588085669617,0.060919481985489174
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Correct,80,0.3900595238095238,0.30481482526327097,0.0340793334919197,0.06783321651349423
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Dialect Word Match,80,0.08208333333333333,0.12684018206474082,0.014181163468760504,0.028226899807702165
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Dialect Word Mismatch,80,0.009166666666666667,0.03136599428919234,0.003506824770625217,0.006980160101931178
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Standard Word Mismatch,80,0.04833333333333333,0.07034174165349256,0.007864445799646895,0.015653787795250604
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Other Mismatch,80,0.47035714285714286,0.28215379967233656,0.031545753808860114,0.0627902523007135
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Correct,80,0.4268308080808081,0.37419259551310236,0.041836004012219,0.08327248298130976
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Dialect Word Match,80,0,0,0,0
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Dialect Word Mismatch,80,0.010511363636363636,0.04864302434414326,0.005438455453234068,0.010824974800216948
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Standard Word Mismatch,80,0.014772727272727272,0.04422154558821106,0.004944119100267289,0.009841022902529827
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Other Mismatch,80,0.547885101010101,0.354321609969691,0.039614360289469804,0.07885041176630724
Spelling,Variety Match,Non-contrastive,Spelling: Variety Match,Correct,80,0.2833333333333333,0.2837363725607348,0.031722690836750445,0.06314243664507531
Spelling,Variety Match,Non-contrastive,Spelling: Variety Match,Dialect Word Match,80,0,0,0,0
Spelling,Variety Match,Non-contrastive,Spelling: Variety Match,Dialect Word Mismatch,80,8.333333333333333e-4,0.007453559924999299,8.333333333333333e-4,0.001658708508525107
