task,language_variety,dialect_words,interacting_factors,lenient_coder_error_types,n_subj,mean_prop,sd_prop,se_prop,ci
Spelling,Variety Match,Non-contrastive,Spelling: Variety Match,Standard Word Mismatch,80,0.05416666666666667,0.07944515751157766,0.008882238633953281,0.017679653756266483
Spelling,Variety Match,Non-contrastive,Spelling: Variety Match,Other Mismatch,80,0.6616666666666666,0.32187478237262723,0.03598669468140728,0.07162972399409456
Spelling,Variety Match,Contrastive,Spelling: Variety Match,Correct,80,0.23833333333333334,0.2582588023696511,0.028874211894311174,0.05747268113526097
Spelling,Variety Match,Contrastive,Spelling: Variety Match,Dialect Word Match,80,0,0,0,0
Spelling,Variety Match,Contrastive,Spelling: Variety Match,Dialect Word Mismatch,80,0.026666666666666665,0.06417276260155556,0.007174732974051727,0.014280948756546289
Spelling,Variety Match,Contrastive,Spelling: Variety Match,Standard Word Mismatch,80,0.08166666666666667,0.10552927350648869,0.011798531458833824,0.02348438942264255
Spelling,Variety Match,Contrastive,Spelling: Variety Match,Other Mismatch,80,0.6533333333333333,0.3429662943258428,0.03834479740518923,0.07632341005639061
Spelling,Variety Match,Untrained,Spelling: Variety Match,Correct,80,0.25833333333333336,0.3065735503466531,0.03427596493392854,0.06822460160857856
Spelling,Variety Match,Untrained,Spelling: Variety Match,Dialect Word Match,80,0,0,0,0
Spelling,Variety Match,Untrained,Spelling: Variety Match,Dialect Word Mismatch,80,0.0010416666666666667,0.009316949906249133,0.0010416666666666664,0.0020733856356563857
Spelling,Variety Match,Untrained,Spelling: Variety Match,Standard Word Mismatch,80,0.0010416666666666667,0.009316949906249128,0.0010416666666666664,0.0020733856356563844
Spelling,Variety Match,Untrained,Spelling: Variety Match,Other Mismatch,80,0.7395833333333334,0.3073682009747659,0.03436480957506969,0.06840144244321578
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Correct,80,0.37416666666666665,0.2927139125479965,0.03272641032086244,0.06514029030323809
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Dialect Word Match,80,0,0,0,0
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Dialect Word Mismatch,80,0.005,0.020609557680645214,0.0023042185980062806,0.004586432392817772
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Standard Word Mismatch,80,0.07416666666666667,0.08284243597524302,0.009262065913115871,0.018435681043926795
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Other Mismatch,80,0.5466666666666666,0.34394910165434756,0.038454678604955314,0.07654212311356534
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Correct,80,0.35916666666666663,0.27568990305080665,0.03082306819659651,0.061351782571853114
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Dialect Word Match,80,0,0,0,0
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Dialect Word Mismatch,80,0.024166666666666666,0.046532356451245455,0.005202475608911788,0.010355268669475578
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Standard Word Mismatch,80,0.10083333333333333,0.10817173926589482,0.012093968112146195,0.024072441371337874
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Other Mismatch,80,0.5158333333333334,0.3493604766083791,0.039059688717403035,0.07774636561907826
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Correct,80,0.3979166666666667,0.34268911540514235,0.03831380785975843,0.07626172690917292
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Dialect Word Match,80,0,0,0,0
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Dialect Word Mismatch,80,0,0,0,0
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Standard Word Mismatch,80,0.0031249999999999997,0.015931849850612065,0.0017812349636644206,0.0035454595078951044
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Other Mismatch,80,0.5989583333333334,0.3396277410067118,0.03797153579678502,0.07558045140947159
