task,language_variety,dialect_words,total,n_obs,n_subj,total_prop,mean_prop,sd_prop,se_prop
Reading,Variety Match,Non-contrastive,13,840,56,0.015476190476190477,0.015476190476190477,0.02840136980213818,0.0037952926826667387
Reading,Variety Match,Contrastive,72,840,56,0.08571428571428572,0.08571428571428572,0.10765773353636789,0.014386369783203271
Reading,Variety Match,Untrained,4,672,56,0.005952380952380952,0.005952380952380952,0.021655841451568417,0.002893883540502367
Reading,Variety Mismatch,Non-contrastive,8,839,56,0.009535160905840286,0.009608843537414966,0.023757364016754677,0.003174711305841699
Reading,Variety Mismatch,Contrastive,34,840,56,0.04047619047619048,0.04047619047619048,0.054943234513077394,0.007342098545325321
Reading,Variety Mismatch,Untrained,5,672,56,0.00744047619047619,0.00744047619047619,0.028765798093763013,0.0038439914615705766
Spelling,Variety Match,Non-contrastive,5,840,56,0.005952380952380952,0.005952380952380952,0.01918242341221171,0.0025633591520188336
Spelling,Variety Match,Contrastive,26,840,56,0.030952380952380953,0.030952380952380953,0.05680273960427636,0.007590585365333477
Spelling,Variety Match,Untrained,0,672,56,0,0,0,0
Spelling,Variety Mismatch,Non-contrastive,4,840,56,0.004761904761904762,0.0047619047619047615,0.017324673161254734,0.002315106832401894
Spelling,Variety Mismatch,Contrastive,14,840,56,0.016666666666666666,0.016666666666666666,0.03423035453683136,0.0045742235323080705
Spelling,Variety Mismatch,Untrained,0,672,56,0,0,0,0
