task,language_variety,dialect_words,total,n_obs,n_subj,total_prop,mean_prop,sd_prop,se_prop
Reading,Variety Match,Non-contrastive,13,687,80,0.018922852983988356,0.016953289765789765,0.043012425368113935,0.004808935350011958
Reading,Variety Match,Contrastive,33,755,79,0.04370860927152318,0.049127279190570326,0.10415114266713477,0.01171791904824135
Reading,Variety Match,Untrained,1,657,76,0.0015220700152207,0.0011961722488038277,0.010427987903207354,0.0011961722488038277
Reading,Variety Mismatch,Non-contrastive,15,619,80,0.024232633279483037,0.021776383338883338,0.04991315575899522,0.005580460462432421
Reading,Variety Mismatch,Contrastive,109,731,80,0.1491108071135431,0.1316913295038295,0.18908791209249853,0.02114067125811656
Reading,Variety Mismatch,Untrained,10,547,72,0.018281535648994516,0.01191077441077441,0.05154044316227724,0.006074099477567678
Spelling,Variety Match,Non-contrastive,1,860,80,0.0011627906976744186,0.0015625,0.013975424859373685,0.0015624999999999999
Spelling,Variety Match,Contrastive,32,914,80,0.0350109409190372,0.03597579503829504,0.0837178639243753,0.009359941733299024
Spelling,Variety Match,Untrained,1,712,80,0.0014044943820224719,0.0013888888888888887,0.01242259987499883,0.0013888888888888885
Spelling,Variety Mismatch,Non-contrastive,6,751,79,0.007989347536617843,0.008137432188065098,0.03293766476689918,0.0037057768113995656
Spelling,Variety Mismatch,Contrastive,29,769,80,0.0377113133940182,0.04003798285048285,0.08343680003727018,0.009328517835419655
Spelling,Variety Mismatch,Untrained,0,578,79,0,0,0,0
