task,language_variety,dialect_words,interacting_factors,lenient_coder_error_types,counts,n_subj,n,proportion
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Correct,449,63,1200,0.37416666666666665
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Dialect Word Match,0,0,0,0
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Dialect Word Mismatch,6,5,1200,0.005
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Standard Word Mismatch,89,45,1200,0.07416666666666667
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Other Mismatch,656,79,1200,0.5466666666666666
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Correct,431,61,1200,0.3591666666666667
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Dialect Word Match,0,0,0,0
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Dialect Word Mismatch,29,21,1200,0.024166666666666666
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Standard Word Mismatch,121,47,1200,0.10083333333333333
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Other Mismatch,619,77,1200,0.5158333333333334
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Correct,382,58,960,0.39791666666666664
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Dialect Word Match,0,0,0,0
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Dialect Word Mismatch,0,0,0,0
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Standard Word Mismatch,3,3,960,0.003125
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Other Mismatch,575,79,960,0.5989583333333334
