task,language_variety,dialect_words,total,n_obs,n_subj,total_prop,mean_prop,sd_prop,se_prop
Reading,Variety Match,Non-contrastive,28,840,56,0.03333333333333333,0.03333333333333333,0.05685352436149611,0.007597371763975863
Reading,Variety Match,Contrastive,73,840,56,0.0869047619047619,0.0869047619047619,0.14037159507601493,0.018757943414621853
Reading,Variety Match,Untrained,7,672,56,0.010416666666666666,0.010416666666666666,0.0551913567380424,0.007375255272320432
Reading,Variety Mismatch,Non-contrastive,15,840,56,0.017857142857142856,0.017857142857142856,0.03704449179425157,0.004950278441473145
Reading,Variety Mismatch,Contrastive,33,840,56,0.039285714285714285,0.039285714285714285,0.061989618830194805,0.008283711257117837
Reading,Variety Mismatch,Untrained,3,672,56,0.004464285714285714,0.004464285714285714,0.024718837422518954,0.0033031935940868637
