task,language_variety,dialect_words,interacting_factors,lenient_coder_error_types,n_subj,mean_prop,sd_prop,se_prop,ci
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Correct,43,0.4232558139534884,0.27173116224588406,0.04143861375731436,0.08362650821379679
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Dialect Word Mismatch,6,0.06746031746031746,0.0019440394783993464,7.936507936507932e-4,0.0020401443139970734
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Standard Word Mismatch,32,0.13125,0.1036735640619375,0.018327070044493486,0.03737830578879329
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Other Mismatch,55,0.6035497835497835,0.2863326908120686,0.03860909215284533,0.07740656919298364
Reading,Variety Match,Contrastive,Reading: Variety Match,Correct,40,0.375,0.2639552323261743,0.04173498672348078,0.0844169786934393
Reading,Variety Match,Contrastive,Reading: Variety Match,Dialect Word Match,18,0.08148148148148149,0.03655459203688774,0.008615999970930367,0.018178170957280287
Reading,Variety Match,Contrastive,Reading: Variety Match,Dialect Word Mismatch,5,0.06666666666666667,0,0,0
Reading,Variety Match,Contrastive,Reading: Variety Match,Standard Word Mismatch,29,0.17701149425287357,0.1312647416591607,0.024375250593121192,0.049930437397998226
Reading,Variety Match,Contrastive,Reading: Variety Match,Other Mismatch,56,0.6083333333333333,0.2865503640044994,0.03829190307714989,0.07673868860397581
Reading,Variety Match,Untrained,Reading: Variety Match,Correct,29,0.4396551724137931,0.3234368327568748,0.06006071203770242,0.12302879147933729
Reading,Variety Match,Untrained,Reading: Variety Match,Dialect Word Mismatch,4,0.10416666666666666,0.04166666666666667,0.020833333333333332,0.06630096469341058
Reading,Variety Match,Untrained,Reading: Variety Match,Standard Word Mismatch,17,0.18627450980392157,0.1123046597488599,0.02723788084668244,0.05774172794643921
Reading,Variety Match,Untrained,Reading: Variety Match,Other Mismatch,54,0.7345679012345679,0.27139773029049596,0.03693255314228919,0.07407732056201088
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Correct,49,0.4122448979591837,0.23080915211801312,0.032972736016859024,0.06629612908946511
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Dialect Word Mismatch,10,0.06666666666666667,0,0,0
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Standard Word Mismatch,25,0.12533333333333332,0.06754970734920296,0.01350994146984059,0.02788314876728281
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Other Mismatch,55,0.5818181818181818,0.265879871836252,0.035851234604749115,0.07187739771503243
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Correct,46,0.372463768115942,0.22203373648966018,0.03273708844041646,0.06593588076993478
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Dialect Word Match,25,0.128,0.10873004286866723,0.021746008573733454,0.044881555816479166
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Dialect Word Mismatch,4,0.06666666666666667,0,0,0
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Standard Word Mismatch,23,0.12463768115942028,0.09057470341894072,0.018886131211793753,0.03916743887704069
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Other Mismatch,55,0.5915151515151515,0.2790502839636113,0.037627132613719076,0.07543785885115073
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Correct,39,0.41452991452991456,0.2883503059394468,0.04617300213921568,0.09347235606092308
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Dialect Word Mismatch,4,0.08333333333333333,0,0,0
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Standard Word Mismatch,13,0.12179487179487179,0.09388345202485134,0.026038584630243465,0.05673320225875036
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Other Mismatch,55,0.6893939393939394,0.2728519480584602,0.03679134917076831,0.07376221393696822
Spelling,Variety Match,Non-contrastive,Spelling: Variety Match,Correct,36,0.37777777777777777,0.2270584848790187,0.03784308081316978,0.0768255383882344
Spelling,Variety Match,Non-contrastive,Spelling: Variety Match,Dialect Word Mismatch,4,0.06666666666666667,0,0,0
Spelling,Variety Match,Non-contrastive,Spelling: Variety Match,Standard Word Mismatch,29,0.11954022988505747,0.06268923186647575,0.011641098111504829,0.02384570850994563
Spelling,Variety Match,Non-contrastive,Spelling: Variety Match,Other Mismatch,55,0.703030303030303,0.2989193655997633,0.04030627903499199,0.08080922402118396
Spelling,Variety Match,Contrastive,Spelling: Variety Match,Correct,36,0.3296296296296296,0.2207890291986042,0.03679817153310069,0.07470425977446378
Spelling,Variety Match,Contrastive,Spelling: Variety Match,Dialect Word Mismatch,12,0.07777777777777778,0.025949964805384102,0.0074911095829249125,0.016487821024638
Spelling,Variety Match,Contrastive,Spelling: Variety Match,Standard Word Mismatch,26,0.1564102564102564,0.08629109946080096,0.016923076923076926,0.03485372935428657
Spelling,Variety Match,Contrastive,Spelling: Variety Match,Other Mismatch,55,0.7115151515151515,0.2948263199284605,0.039754372869262374,0.07970271878048935
Spelling,Variety Match,Untrained,Spelling: Variety Match,Correct,26,0.40705128205128205,0.2289188636915843,0.04489468280741828,0.0924623300555086
Spelling,Variety Match,Untrained,Spelling: Variety Match,Standard Word Mismatch,2,0.125,0.05892556509887896,0.041666666666666664,0.5294251973406122
Spelling,Variety Match,Untrained,Spelling: Variety Match,Other Mismatch,56,0.8065476190476191,0.2543098915172607,0.03398358871875851,0.06810463368927183
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Correct,40,0.39166666666666666,0.19637019519584317,0.031048854069535947,0.06280223520399678
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Dialect Word Mismatch,5,0.06666666666666667,0,0,0
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Standard Word Mismatch,26,0.13846153846153847,0.07035927337904613,0.013798588766229448,0.028418725537638103
Spelling,Variety Mismatch,Non-contrastive,Spelling: Variety Mismatch,Other Mismatch,55,0.6618181818181819,0.2888474458748122,0.038948181656331425,0.07808640271536488
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Correct,41,0.33658536585365856,0.19661085056086192,0.030705456160208363,0.062058041793525275
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Dialect Word Mismatch,15,0.11555555555555555,0.04691543670326646,0.012113513668786612,0.02598090286072388
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Standard Word Mismatch,24,0.1638888888888889,0.09423819479965768,0.01923629096168038,0.03979329969411527
Spelling,Variety Mismatch,Contrastive,Spelling: Variety Mismatch,Other Mismatch,55,0.6642424242424242,0.3003327746568943,0.04049686307337641,0.08119132201240008
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Correct,36,0.32407407407407407,0.23467114594089625,0.03911185765681604,0.07940129231770111
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Standard Word Mismatch,1,0.08333333333333333,NaN,NA,NaN
Spelling,Variety Mismatch,Untrained,Spelling: Variety Mismatch,Other Mismatch,56,0.7901785714285714,0.24515047503779266,0.03275961020701063,0.0656517259379455
