task,language_variety,dialect_words,total,n_obs,n_subj,total_prop,mean_prop,sd_prop,se_prop
Reading,Variety Match,Non-contrastive,22,1200,80,0.018333333333333333,0.018333333333333333,0.031778063004631055,0.0035528954535813126
Reading,Variety Match,Contrastive,45,1200,80,0.0375,0.0375,0.056968666592058084,0.006369290554368158
Reading,Variety Match,Untrained,1,960,80,0.0010416666666666667,0.0010416666666666667,0.009316949906249122,0.0010416666666666664
Reading,Variety Mismatch,Non-contrastive,23,1200,80,0.019166666666666665,0.019166666666666665,0.033867035447674845,0.003786449672869799
Reading,Variety Mismatch,Contrastive,125,1200,80,0.10416666666666667,0.10416666666666667,0.14026045693847827,0.015681595813480973
Reading,Variety Mismatch,Untrained,10,960,80,0.010416666666666666,0.010416666666666666,0.04849166558806701,0.005421533029855257
Spelling,Variety Match,Non-contrastive,1,1200,80,8.333333333333334e-4,8.333333333333333e-4,0.007453559924999299,8.333333333333333e-4
Spelling,Variety Match,Contrastive,32,1200,80,0.02666666666666667,0.026666666666666665,0.06417276260155559,0.007174732974051727
Spelling,Variety Match,Untrained,1,960,80,0.0010416666666666667,0.0010416666666666667,0.009316949906249122,0.0010416666666666664
Spelling,Variety Mismatch,Non-contrastive,6,1200,80,0.005,0.005,0.02060955768064522,0.0023042185980062806
Spelling,Variety Mismatch,Contrastive,29,1200,80,0.024166666666666666,0.024166666666666666,0.046532356451245475,0.005202475608911788
Spelling,Variety Mismatch,Untrained,0,960,80,0,0,0,0
