item_number,concept,PNG,GIF
6,apple,"30,262","9,510"
7,arm,"15,373","5,849"
22,bed,"18,242","7,565"
27,bicycle,"34,949","12,821"
30,book,"14,522","7,035"
47,car,"25,296","10,623"
49,cat,"48,274","19,824"
53,chair,"21,477","10,614"
55,chicken,"40,346","14,182"
72,desk,"24,042","10,013"
73,dog,"30,775","12,414"
76,door,"46,781","26,047"
77,doorknob,"35,881","15,802"
81,duck,"28,921","10,831"
83,ear,"28,967","12,005"
86,eye,"33,688","12,359"
88,finger,"20,443","8,556"
91,flower,"27,351","10,545"
94,foot,"19,066","7,856"
97,fork,"15,914","7,198"
104,glass,"14,744","9,888"
115,hand,"41,556","15,380"
122,house,"24,469","9,901"
155,nose,"22,625","10,515"
162,pants,"44,015","20,886"
167,pen,"14,225","5,017"
168,pencil,"15,616","4,559"
179,pot,"25,833","11,853"
180,potato,"20,663","9,301"
182,rabbit,"37,153","14,353"
185,refrigerator,"16,169","8,261"
203,shirt,"37,557","16,781"
211,socks,"36,509","15,645"
215,spoon,"15,881","6,376"
224,sweater,"46,527","23,678"
228,television,"35,581","14,646"
236,tomato,"18,258","8,155"
237,toothbrush,"12,680","4,861"
241,tree,"46,502","18,383"
242,truck,"23,006","11,067"
250,watch,"33,480","13,945"
257,window,"24,867","12,496"
