"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"40",40,"R_TR21","","mklbOnEfadisu","standard","RR",1,"male","opaque","2018-08-14 17:43:44","0000-00-00 00:00:00",23,"f",5,0,0
"41",41,"START","","albnuiOEfdsmk","dialect","RR",1,"female","transparent","2018-08-14 18:43:51","0000-00-00 00:00:00",0,"",0,0,0
"42",42,"R_TR11","","mlEbifkduaOsn","standard","RR",1,"male","opaque","2018-08-14 18:46:28","0000-00-00 00:00:00",24,"m",5,0,0
"43",43,"R_TR12","","bsudkOnfEliam","standard","RR",1,"male","opaque","2018-08-14 18:55:12","0000-00-00 00:00:00",26,"m",5,0,0
"44",44,"END","00044KPnLA","fnmEdbOlkisau","standard","RR",1,"male","opaque","2018-08-14 19:08:20","2018-08-14 19:53:12",21,"m",5,5,5
"45",45,"END","00045wdZvK","dlkOfaumEinbs","standard","RR",1,"male","opaque","2018-08-14 19:53:11","2018-08-14 20:29:56",23,"f",5,3,4
"46",46,"INSTR_EXPOSURE1","","nlbmuOifEksad","standard","RR",1,"male","opaque","2018-08-15 10:14:08","0000-00-00 00:00:00",26,"f",5,0,0
"47",47,"START","","akOuEsflnbidm","dialect","RR",0,"female","transparent","2018-08-15 10:36:33","0000-00-00 00:00:00",0,"",0,0,0
"48",48,"END","00048BSdhH","lOdnEsbimakuf","standard","RR",1,"male","opaque","2018-08-15 11:02:49","2018-08-15 12:33:18",26,"f",5,2,4
"49",49,"R_TR11","","nlOdsfaubEimk","dialect","RR",0,"male","opaque","2018-08-15 16:35:05","0000-00-00 00:00:00",19,"f",5,0,0
"50",50,"END","00050DPLBf","OmakulbndEsif","dialect","RR",0,"male","opaque","2018-08-15 16:35:19","2018-08-15 17:26:10",21,"f",5,4,5
"51",51,"START","","aOfbnisuElkdm","dialect","RR",0,"male","opaque","2018-08-15 16:47:55","0000-00-00 00:00:00",0,"",0,0,0
"52",52,"END","00052WubXv","smklaibufOEdn","dialect","RR",0,"male","opaque","2018-08-15 16:57:54","2018-08-15 17:41:58",22,"f",5,4,5
"53",53,"END","00053YjohX","bmuEfnlksOdai","dialect","RR",0,"male","opaque","2018-08-15 16:59:03","2018-08-15 17:43:24",32,"m",5,4,5
"54",54,"R_TR11","","fdEbnimaukslO","dialect","RR",0,"male","opaque","2018-08-15 17:05:11","0000-00-00 00:00:00",23,"m",5,0,0
"55",55,"END","00055dwCRn","maubsOidfnlEk","dialect","RR",0,"male","opaque","2018-08-15 17:06:49","2018-08-15 17:51:32",18,"f",5,5,5
"56",56,"R_TR11","","simunbdfkEOla","dialect","RR",0,"male","opaque","2018-08-15 17:08:50","0000-00-00 00:00:00",35,"f",5,0,0
"57",57,"R_TR12","","nfudblkEsmOai","dialect","RR",0,"male","opaque","2018-08-15 17:13:37","0000-00-00 00:00:00",25,"m",5,0,0
"58",58,"END","00058xrMdm","OEianfmsbldku","dialect","RR",0,"male","opaque","2018-08-15 17:14:39","2018-08-15 17:56:29",31,"f",2,4,5
"59",59,"END","00059RGuWU","udbmliOsfaEkn","dialect","RR",0,"male","opaque","2018-08-15 17:15:18","2018-08-15 17:51:58",20,"f",5,3,5
"60",60,"END","00060bgSyV","udmkbflsOEian","dialect","RR",0,"male","opaque","2018-08-15 17:19:16","2018-08-15 17:52:46",60,"m",5,5,5
"61",61,"END","00061HrPJc","nkbaEOmsulfid","dialect","RR",0,"male","opaque","2018-08-15 17:19:16","2018-08-15 17:43:00",29,"f",4,5,5
"62",62,"R_TEST","","kEidOfmabslnu","dialect","RR",0,"male","opaque","2018-08-15 17:20:53","0000-00-00 00:00:00",29,"f",5,0,0
"63",63,"R_TR11","","bElOsimunfkad","dialect","RR",0,"male","opaque","2018-08-15 17:23:58","0000-00-00 00:00:00",21,"m",5,0,0
"64",64,"SCRIPT","","mlOudskEfnabi","dialect","RR",0,"male","opaque","2018-08-15 17:24:16","0000-00-00 00:00:00",25,"f",1,0,0
"65",65,"END","00065FtOgw","bnEausmfdilOk","dialect","RR",0,"male","opaque","2018-08-15 17:28:18","2018-08-15 17:59:01",18,"m",5,4,5
"66",66,"END","00066mEHwX","bskaEdnlfumOi","dialect","RR",0,"male","opaque","2018-08-15 17:39:02","2018-08-15 19:34:18",18,"f",5,5,5
"67",67,"END","00067nBGlw","fEiandulObskm","dialect","RR",0,"male","opaque","2018-08-15 17:39:49","2018-08-15 18:40:51",29,"m",5,2,2
"68",68,"END","00068qQJdF","ObumEiasnldkf","dialect","RR",0,"male","opaque","2018-08-15 17:51:08","2018-08-15 18:47:43",26,"m",5,5,5
"69",69,"START","","mnafkluEdbOis","dialect","RR",1,"male","transparent","2018-08-15 18:04:46","0000-00-00 00:00:00",0,"",0,0,0
