trial_id,participant_number,session_trial_id,section_trial_id,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,task,block,picture_id,word_id,test_words,dialect_words,target_length,exposure_count,target,primary_coder_response,primary_coder_response_length,primary_max_word_length,primary_coder_correct,primary_coder_nLED,secondary_coder_response,secondary_coder_response_length,secondary_max_word_length,secondary_coder_correct,secondary_coder_nLED,lenient_max_word_length,lenient_correct,lenient_nLED,stringent_max_word_length,stringent_correct,stringent_nLED,submission_time,running_time
91,3,23,3,dialect,opaque,picture,RR,male,R,TR3,94,40,training_word,shifted_word,6,2,flEsOd,bElisO,6,6,0,0.666667,bElisO,6,6,0,0.666667,6,0,0.666667,6,0,0.666667,16s,2152s (~35.87 minutes)
96,3,24,4,dialect,opaque,picture,RR,male,R,TR3,73,4,training_word,no_shift_word,3,2,mif,mif,3,3,1,0,mif,3,3,1,0,3,1,0,3,1,0,16s,2168s (~36.13 minutes)
103,3,25,5,dialect,opaque,picture,RR,male,R,TR3,91,29,training_word,no_shift_word,5,2,smiba,smiba,5,5,1,0,smiba,5,5,1,0,5,1,0,5,1,0,26s,2194s (~36.57 minutes)
107,3,26,6,dialect,opaque,picture,RR,male,R,TR3,115,32,training_word,shifted_word,5,2,smadu,smadu,5,5,1,0,smadu,5,5,1,0,5,1,0,5,1,0,22s,2216s (~36.93 minutes)
113,3,27,7,dialect,opaque,picture,RR,male,R,TR3,55,7,training_word,shifted_word,3,2,daf,daf,3,3,1,0,daf,3,3,1,0,3,1,0,3,1,0,20s,2236s (~37.27 minutes)
133,3,28,8,dialect,opaque,picture,RR,male,R,TR3,88,37,training_word,shifted_word,6,2,blEkus,blikus,6,6,0,0.166667,blikus,6,6,0,0.166667,6,0,0.166667,6,0,0.166667,81s (~1.35 minutes),2317s (~38.62 minutes)
139,3,29,9,dialect,opaque,picture,RR,male,R,TR3,228,35,training_word,shifted_word,5,2,slOku,slOxu,5,5,0,0.2,slOku,5,5,1,0,5,1,0,5,0,0.2,23s,2340s (~39 minutes)
146,3,30,10,dialect,opaque,picture,RR,male,R,TR3,182,9,training_word,no_shift_word,4,2,snOf,snOf,4,4,1,0,snaf,4,4,0,0.25,4,1,0,4,0,0.25,54s,2394s (~39.9 minutes)
597,3,31,1,dialect,opaque,picture,RR,male,R,TR4,91,29,training_word,no_shift_word,5,3,smiba,smibO,5,5,0,0.2,smibOl,6,6,0,0.333333,5,0,0.2,6,0,0.333333,NA,3998s (~1.11 hours)
604,3,32,2,dialect,opaque,picture,RR,male,R,TR4,182,9,training_word,no_shift_word,4,3,snOf,snif,4,4,0,0.25,snif,4,4,0,0.25,4,0,0.25,4,0,0.25,19s,4017s (~1.12 hours)
612,3,33,3,dialect,opaque,picture,RR,male,R,TR4,73,4,training_word,no_shift_word,3,3,mif,mif,3,3,1,0,mif,3,3,1,0,3,1,0,3,1,0,21s,4038s (~1.12 hours)
618,3,34,4,dialect,opaque,picture,RR,male,R,TR4,55,7,training_word,shifted_word,3,3,daf,daf,3,3,1,0,daf,3,3,1,0,3,1,0,3,1,0,17s,4055s (~1.13 hours)
634,3,35,5,dialect,opaque,picture,RR,male,R,TR4,94,40,training_word,shifted_word,6,3,flEsOd,bElisad,7,7,0,0.571429,bElisad,7,7,0,0.571429,7,0,0.571429,7,0,0.571429,43s,4098s (~1.14 hours)
643,3,36,6,dialect,opaque,picture,RR,male,R,TR4,228,35,training_word,shifted_word,5,3,slOku,slOxu,5,5,0,0.2,slOgu,5,5,0,0.2,5,0,0.2,5,0,0.2,27s,4125s (~1.15 hours)
652,3,37,7,dialect,opaque,picture,RR,male,R,TR4,241,22,training_word,no_shift_word,5,3,nOflE,nOflE,5,5,1,0,nOflE,5,5,1,0,5,1,0,5,1,0,23s,4148s (~1.15 hours)
659,3,38,8,dialect,opaque,picture,RR,male,R,TR4,115,32,training_word,shifted_word,5,3,smadu,smadu,5,5,1,0,smadu,5,5,1,0,5,1,0,5,1,0,25s,4173s (~1.16 hours)
664,3,39,9,dialect,opaque,picture,RR,male,R,TR4,88,37,training_word,shifted_word,6,3,blEkus,blExus,6,6,0,0.166667,blExus,6,6,0,0.166667,6,0,0.166667,6,0,0.166667,20s,4193s (~1.16 hours)
671,3,40,10,dialect,opaque,picture,RR,male,R,TR4,167,18,training_word,no_shift_word,4,3,fOns,fl?ns,5,5,0,0.4,blauns,6,6,0,0.666667,5,0,0.4,6,0,0.666667,23s,4216s (~1.17 hours)
738,3,41,1,dialect,opaque,picture,RR,male,R,TR5,83,10,training_word,no_shift_word,4,3,blim,blin,4,4,0,0.25,blin,4,4,0,0.25,4,0,0.25,4,0,0.25,NA,4505s (~1.25 hours)
749,3,42,2,dialect,opaque,picture,RR,male,R,TR5,97,15,training_word,shifted_word,4,3,balf,bOlf,4,4,0,0.25,balf,4,4,1,0,4,1,0,4,0,0.25,41s,4546s (~1.26 hours)
753,3,43,3,dialect,opaque,picture,RR,male,R,TR5,242,11,training_word,shifted_word,4,3,blaf,blab,4,4,0,0.25,blab,4,4,0,0.25,4,0,0.25,4,0,0.25,18s,4564s (~1.27 hours)
762,3,44,4,dialect,opaque,picture,RR,male,R,TR5,203,38,training_word,no_shift_word,6,3,snibOl,flibal,6,6,0,0.5,flEbal,6,6,0,0.666667,6,0,0.5,6,0,0.666667,22s,4586s (~1.27 hours)
772,3,45,5,dialect,opaque,picture,RR,male,R,TR5,155,2,training_word,no_shift_word,3,3,fub,fub,3,3,1,0,fub,3,3,1,0,3,1,0,3,1,0,36s,4622s (~1.28 hours)
776,3,46,6,dialect,opaque,picture,RR,male,R,TR5,30,1,training_word,shifted_word,3,3,nEf,nOf,3,3,0,0.333333,nOf,3,3,0,0.333333,3,0,0.333333,3,0,0.333333,12s,4634s (~1.29 hours)
787,3,47,7,dialect,opaque,picture,RR,male,R,TR5,237,25,training_word,shifted_word,5,3,dasmu,dasmu,5,5,1,0,dasmu,5,5,1,0,5,1,0,5,1,0,33s,4667s (~1.3 hours)
795,3,48,8,dialect,opaque,picture,RR,male,R,TR5,122,6,training_word,no_shift_word,3,3,lOm,lam,3,3,0,0.333333,lam,3,3,0,0.333333,3,0,0.333333,3,0,0.333333,18s,4685s (~1.3 hours)
802,3,49,9,dialect,opaque,picture,RR,male,R,TR5,179,5,training_word,shifted_word,3,3,nal,nOl,3,3,0,0.333333,nal,3,3,1,0,3,1,0,3,0,0.333333,22s,4707s (~1.31 hours)
807,3,50,10,dialect,opaque,picture,RR,male,R,TR5,77,34,training_word,no_shift_word,5,3,flidu,flidu,5,5,1,0,flidu,5,5,1,0,5,1,0,5,1,0,14s,4721s (~1.31 hours)
813,3,51,1,dialect,opaque,picture,RR,male,R,TR6,155,2,training_word,no_shift_word,3,4,fub,fub,3,3,1,0,fub,3,3,1,0,3,1,0,3,1,0,NA,4741s (~1.32 hours)
820,3,52,2,dialect,opaque,picture,RR,male,R,TR6,237,25,training_word,shifted_word,5,4,dasmu,dEsmu,5,5,0,0.2,dEsmu,5,5,0,0.2,5,0,0.2,5,0,0.2,20s,4761s (~1.32 hours)
827,3,53,3,dialect,opaque,picture,RR,male,R,TR6,97,15,training_word,shifted_word,4,4,balf,balf,4,4,1,0,balf,4,4,1,0,4,1,0,4,1,0,22s,4783s (~1.33 hours)
830,3,54,4,dialect,opaque,picture,RR,male,R,TR6,242,11,training_word,shifted_word,4,4,blaf,blab,4,4,0,0.25,blab,4,4,0,0.25,4,0,0.25,4,0,0.25,14s,4797s (~1.33 hours)
840,3,55,5,dialect,opaque,picture,RR,male,R,TR6,30,1,training_word,shifted_word,3,4,nEf,naf,3,3,0,0.333333,naf,3,3,0,0.333333,3,0,0.333333,3,0,0.333333,30s,4827s (~1.34 hours)
849,3,56,6,dialect,opaque,picture,RR,male,R,TR6,77,34,training_word,no_shift_word,5,4,flidu,flidu,5,5,1,0,flidu,5,5,1,0,5,1,0,5,1,0,26s,4853s (~1.35 hours)
854,3,57,7,dialect,opaque,picture,RR,male,R,TR6,203,38,training_word,no_shift_word,6,4,snibOl,snibam,6,6,0,0.333333,snibam,6,6,0,0.333333,6,0,0.333333,6,0,0.333333,23s,4876s (~1.35 hours)
862,3,58,8,dialect,opaque,picture,RR,male,R,TR6,179,5,training_word,shifted_word,3,4,nal,nOl,3,3,0,0.333333,nOl,3,3,0,0.333333,3,0,0.333333,3,0,0.333333,33s,4909s (~1.36 hours)
869,3,59,9,dialect,opaque,picture,RR,male,R,TR6,83,10,training_word,no_shift_word,4,4,blim,blim,4,4,1,0,blim,4,4,1,0,4,1,0,4,1,0,16s,4925s (~1.37 hours)
880,3,60,10,dialect,opaque,picture,RR,male,R,TR6,122,6,training_word,no_shift_word,3,4,lOm,lam,3,3,0,0.333333,lam,3,3,0,0.333333,3,0,0.333333,3,0,0.333333,26s,4951s (~1.38 hours)
894,3,61,1,dialect,opaque,picture,RR,male,R,TEST,55,7,training_word,shifted_word,3,5,daf,dOf,3,3,0,0.333333,daf,3,3,1,0,3,1,0,3,0,0.333333,NA,5005s (~1.39 hours)
904,3,62,2,dialect,opaque,picture,RR,male,R,TEST,88,37,training_word,shifted_word,6,5,blEkus,blEkus,6,6,1,0,blEkus,6,6,1,0,6,1,0,6,1,0,38s,5043s (~1.4 hours)
913,3,63,3,dialect,opaque,picture,RR,male,R,TEST,27,36,testing_word,can_shift_word,6,0,skOnEf,skOnaf,6,6,0,0.166667,skOnaf,6,6,0,0.166667,6,0,0.166667,6,0,0.166667,43s,5086s (~1.41 hours)
917,3,64,4,dialect,opaque,picture,RR,male,R,TEST,22,13,training_word,no_shift_word,4,5,flOb,flab,4,4,0,0.25,flab,4,4,0,0.25,4,0,0.25,4,0,0.25,10s,5096s (~1.42 hours)
923,3,65,5,dialect,opaque,picture,RR,male,R,TEST,49,14,testing_word,can_shift_word,4,0,klEb,klab,4,4,0,0.25,klab,4,4,0,0.25,4,0,0.25,4,0,0.25,26s,5122s (~1.42 hours)
930,3,66,6,dialect,opaque,picture,RR,male,R,TEST,6,33,testing_word,can_shift_word,5,0,klOda,kl?da,5,5,0,0.2,klOda,5,5,1,0,5,1,0,5,0,0.2,27s,5149s (~1.43 hours)
935,3,67,7,dialect,opaque,picture,RR,male,R,TEST,30,1,training_word,shifted_word,3,5,nEf,nEf,3,3,1,0,nEf,3,3,1,0,3,1,0,3,1,0,17s,5166s (~1.44 hours)
941,3,68,8,dialect,opaque,picture,RR,male,R,TEST,47,27,training_word,shifted_word,5,5,bEsmi,bEsmE,5,5,0,0.2,bEsmE,5,5,0,0.2,5,0,0.2,5,0,0.2,20s,5186s (~1.44 hours)
