participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
14,dialect,opaque,picture,RR,male,27,m,Indonesian,4,4,5,2018-08-11T11:01:27Z,2018-08-11T13:11:15Z,7788s (~2.16 hours)
14,dialect,opaque,picture,RR,male,27,m,Malay,5,4,5,2018-08-11T11:01:27Z,2018-08-11T13:11:15Z,7788s (~2.16 hours)
14,dialect,opaque,picture,RR,male,27,m,Chinese (Mandarin),4,4,5,2018-08-11T11:01:27Z,2018-08-11T13:11:15Z,7788s (~2.16 hours)
14,dialect,opaque,picture,RR,male,27,m,Japanese,2,4,5,2018-08-11T11:01:27Z,2018-08-11T13:11:15Z,7788s (~2.16 hours)
14,dialect,opaque,picture,RR,male,27,m,English,5,4,5,2018-08-11T11:01:27Z,2018-08-11T13:11:15Z,7788s (~2.16 hours)
15,dialect,opaque,picture,RR,male,32,f,English,5,1,4,2018-08-11T11:11:30Z,2018-08-11T12:13:49Z,3739s (~1.04 hours)
16,dialect,opaque,picture,RR,male,45,m,English,5,5,5,2018-08-11T11:12:29Z,2018-08-11T11:50:35Z,2286s (~38.1 minutes)
17,dialect,opaque,picture,RR,male,18,f,French,1,4,5,2018-08-11T11:15:27Z,2018-08-11T12:16:55Z,3688s (~1.02 hours)
17,dialect,opaque,picture,RR,male,18,f,English,5,4,5,2018-08-11T11:15:27Z,2018-08-11T12:16:55Z,3688s (~1.02 hours)
18,dialect,opaque,picture,RR,male,21,m,Polish,5,5,5,2018-08-11T11:27:18Z,2018-08-11T12:38:40Z,4282s (~1.19 hours)
18,dialect,opaque,picture,RR,male,21,m,English,5,5,5,2018-08-11T11:27:18Z,2018-08-11T12:38:40Z,4282s (~1.19 hours)
21,standard,opaque,picture,RR,male,40,m,English,5,5,5,2018-08-14T11:42:41Z,2018-08-14T14:34:57Z,10336s (~2.87 hours)
22,standard,opaque,picture,RR,male,35,f,English,5,5,5,2018-08-14T11:52:26Z,2018-08-14T12:34:06Z,2500s (~41.67 minutes)
22,standard,opaque,picture,RR,male,35,f,French,2,5,5,2018-08-14T11:52:26Z,2018-08-14T12:34:06Z,2500s (~41.67 minutes)
23,standard,opaque,picture,RR,male,20,f,English,5,4,5,2018-08-14T11:54:10Z,2018-08-14T13:23:21Z,5351s (~1.49 hours)
