IPA,CPSAMPA,grapheme,phoneme_type
/a/,a,a,vowel
/?/,E,e,vowel
/i/,i,i,vowel
/?/,O,o,vowel
/u/,u,u,vowel
/m/,m,m,consonant
/n/,n,n,consonant
/s/,s,s,consonant
/k/,k,k,consonant
/b/,b,b,consonant
/d/,d,d,consonant
/f/,f,f,consonant
/l/,l,l,consonant
