participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
31,standard,transparent,no_picture,WR,female,35,f,English,5,5,5,2017-03-29T00:02:45Z,2017-03-29T00:52:50Z,3005s (~50.08 minutes)
43,standard,transparent,no_picture,WR,male,59,m,English,5,5,5,2017-04-01T14:21:38Z,2017-04-01T15:37:14Z,4536s (~1.26 hours)
45,standard,transparent,no_picture,WR,male,30,m,English,5,4,5,2017-04-01T14:36:15Z,2017-04-01T16:02:08Z,5153s (~1.43 hours)
45,standard,transparent,no_picture,WR,male,30,m,Hindi,5,4,5,2017-04-01T14:36:15Z,2017-04-01T16:02:08Z,5153s (~1.43 hours)
48,standard,transparent,no_picture,WR,male,26,m,English,3,5,5,2017-04-01T18:03:50Z,2017-04-01T18:47:35Z,2625s (~43.75 minutes)
54,dialect,transparent,no_picture,WR,male,25,m,English,5,4,5,2017-04-20T15:33:59Z,2017-04-20T16:19:14Z,2715s (~45.25 minutes)
55,dialect,transparent,no_picture,WR,female,23,m,English,5,4,5,2017-04-20T15:37:45Z,2017-04-20T16:23:23Z,2738s (~45.63 minutes)
56,dialect,transparent,picture,RW,male,55,m,English,5,5,5,2017-04-20T15:46:24Z,2017-04-20T16:58:30Z,4326s (~1.2 hours)
57,dialect,transparent,picture,RW,female,33,m,Portuguese,5,4,5,2017-04-20T15:47:41Z,2017-04-20T16:48:47Z,3666s (~1.02 hours)
57,dialect,transparent,picture,RW,female,33,m,English,4,4,5,2017-04-20T15:47:41Z,2017-04-20T16:48:47Z,3666s (~1.02 hours)
59,dialect,transparent,no_picture,RW,female,39,m,Spanish,2,5,5,2017-04-20T16:05:08Z,2017-04-20T17:09:11Z,3843s (~1.07 hours)
59,dialect,transparent,no_picture,RW,female,39,m,English,5,5,5,2017-04-20T16:05:08Z,2017-04-20T17:09:11Z,3843s (~1.07 hours)
60,dialect,transparent,picture,WR,male,40,m,English,5,4,5,2017-04-20T16:06:47Z,2017-04-20T16:40:13Z,2006s (~33.43 minutes)
61,dialect,transparent,picture,WR,female,23,m,English,2,5,4,2017-04-20T16:10:39Z,2017-04-20T18:34:05Z,8606s (~2.39 hours)
63,dialect,transparent,no_picture,WR,female,65,f,English,5,1,5,2017-04-20T16:19:29Z,2017-04-20T18:01:42Z,6133s (~1.7 hours)
64,dialect,transparent,picture,RW,male,44,f,English,5,4,5,2017-04-20T16:23:32Z,2017-04-20T17:17:39Z,3247s (~54.12 minutes)
65,dialect,transparent,picture,RW,female,39,m,English,5,5,5,2017-04-20T16:24:34Z,2017-04-20T17:10:07Z,2733s (~45.55 minutes)
67,dialect,transparent,no_picture,RW,female,37,f,Spanish,2,4,5,2017-04-20T16:37:36Z,2017-04-20T17:25:22Z,2866s (~47.77 minutes)
67,dialect,transparent,no_picture,RW,female,37,f,English,5,4,5,2017-04-20T16:37:36Z,2017-04-20T17:25:22Z,2866s (~47.77 minutes)
68,dialect,transparent,picture,WR,male,46,f,English,4,5,5,2017-04-20T16:47:50Z,2017-04-20T17:47:30Z,3580s (~59.67 minutes)
69,dialect,transparent,picture,WR,female,20,m,English,5,4,5,2017-04-20T16:54:45Z,2017-04-20T18:04:58Z,4213s (~1.17 hours)
70,dialect,transparent,no_picture,WR,male,44,m,English,5,4,5,2017-04-20T17:09:27Z,2017-04-20T17:39:41Z,1814s (~30.23 minutes)
71,dialect,transparent,no_picture,WR,female,24,f,English,5,5,5,2017-04-20T17:12:38Z,2017-04-20T17:43:39Z,1861s (~31.02 minutes)
72,dialect,transparent,picture,RW,male,36,m,English,5,3,5,2017-04-20T17:14:39Z,2017-04-20T17:48:44Z,2045s (~34.08 minutes)
73,dialect,transparent,picture,RW,female,31,m,English,5,5,5,2017-04-20T17:20:15Z,2017-04-20T18:13:46Z,3211s (~53.52 minutes)
75,dialect,transparent,no_picture,RW,female,39,f,French,1,4,5,2017-04-20T17:21:19Z,2017-04-20T18:03:01Z,2502s (~41.7 minutes)
75,dialect,transparent,no_picture,RW,female,39,f,English,5,4,5,2017-04-20T17:21:19Z,2017-04-20T18:03:01Z,2502s (~41.7 minutes)
75,dialect,transparent,no_picture,RW,female,39,f,Spanish,1,4,5,2017-04-20T17:21:19Z,2017-04-20T18:03:01Z,2502s (~41.7 minutes)
77,dialect,transparent,picture,WR,female,24,m,English,5,1,5,2017-04-20T17:47:36Z,2017-04-20T18:32:30Z,2694s (~44.9 minutes)
77,dialect,transparent,picture,WR,female,24,m,Portuguese,2,1,5,2017-04-20T17:47:36Z,2017-04-20T18:32:30Z,2694s (~44.9 minutes)
79,dialect,transparent,no_picture,WR,female,44,f,English,5,5,5,2017-04-20T19:23:56Z,2017-04-20T20:10:50Z,2814s (~46.9 minutes)
89,dialect,transparent,picture,RW,female,30,m,English,5,4,5,2017-04-26T16:30:23Z,2017-04-26T17:49:57Z,4774s (~1.33 hours)
90,standard,transparent,no_picture,RW,female,24,m,English,5,5,5,2017-04-26T17:13:07Z,2017-04-26T18:20:09Z,4022s (~1.12 hours)
91,dialect,transparent,no_picture,RW,female,59,m,English,5,3,5,2017-04-26T17:25:07Z,2017-04-26T18:34:05Z,4138s (~1.15 hours)
92,standard,transparent,picture,WR,female,29,m,English,5,3,5,2017-04-26T17:38:46Z,2017-04-26T18:29:01Z,3015s (~50.25 minutes)
93,dialect,transparent,picture,WR,female,50,m,English,5,5,5,2017-04-26T17:55:54Z,2017-04-26T19:04:49Z,4135s (~1.15 hours)
93,dialect,transparent,picture,WR,female,50,m,German,2,5,5,2017-04-26T17:55:54Z,2017-04-26T19:04:49Z,4135s (~1.15 hours)
93,dialect,transparent,picture,WR,female,50,m,Spanish,4,5,5,2017-04-26T17:55:54Z,2017-04-26T19:04:49Z,4135s (~1.15 hours)
94,standard,transparent,no_picture,WR,female,33,m,English,5,4,5,2017-04-26T18:13:07Z,2017-04-26T18:58:12Z,2705s (~45.08 minutes)
95,dialect,transparent,no_picture,WR,female,49,f,English,5,5,5,2017-04-26T19:41:45Z,2017-04-26T20:30:23Z,2918s (~48.63 minutes)
96,standard,transparent,picture,RW,male,40,f,French,1,1,4,2017-04-26T20:45:23Z,2017-04-26T21:31:11Z,2748s (~45.8 minutes)
96,standard,transparent,picture,RW,male,40,f,English,5,1,4,2017-04-26T20:45:23Z,2017-04-26T21:31:11Z,2748s (~45.8 minutes)
97,dialect,transparent,picture,RW,male,26,m,English,5,4,5,2017-04-26T22:17:25Z,2017-04-26T23:44:28Z,5223s (~1.45 hours)
97,dialect,transparent,picture,RW,male,26,m,Filipino,5,4,5,2017-04-26T22:17:25Z,2017-04-26T23:44:28Z,5223s (~1.45 hours)
100,standard,transparent,picture,WR,male,37,f,English,5,5,5,2017-04-27T16:59:29Z,2017-04-27T17:27:49Z,1700s (~28.33 minutes)
101,dialect,transparent,picture,WR,male,33,m,English,5,5,5,2017-04-27T17:01:49Z,2017-04-27T18:04:26Z,3757s (~1.04 hours)
