"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"40",40,"W_TR1","","OfbEksildmuna","standard","WR",1,"female","transparent","2017-04-01 10:46:32","0000-00-00 00:00:00",999,"o",1,0,0
"41",41,"W_TR1","","auiElnsbfOmdk","standard","WR",0,"male","transparent","2017-04-01 10:47:36","0000-00-00 00:00:00",999,"o",1,0,0
"42",42,"W_TR1","","naufOdsEmiblk","standard","WR",0,"female","transparent","2017-04-01 10:49:07","0000-00-00 00:00:00",999,"o",1,0,0
"43",43,"END","00043bwPiz","fkumnisOdEalb","standard","WR",0,"male","transparent","2017-04-01 14:21:38","2017-04-01 15:37:14",59,"m",5,5,5
"44",44,"DEMOGRAPHICS","","nbkiladusmEOf","standard","WR",0,"male","transparent","2017-04-01 14:25:38","0000-00-00 00:00:00",0,"",0,0,0
"45",45,"END","00045BTsgR","ulEdabOsnkimf","standard","WR",0,"male","transparent","2017-04-01 14:36:15","2017-04-01 16:02:08",30,"m",5,4,5
"46",46,"SCRIPT","","OambnfiklsuEd","standard","WR",0,"male","transparent","2017-04-01 14:55:21","0000-00-00 00:00:00",30,"m",5,0,0
"47",47,"SCRIPT","","bdlfaEkinuOsm","standard","WR",0,"male","transparent","2017-04-01 15:48:32","0000-00-00 00:00:00",28,"f",5,0,0
"48",48,"END","00048GkqoY","auOsnfEdikmlb","standard","WR",0,"male","transparent","2017-04-01 18:03:50","2017-04-01 18:47:35",26,"m",3,5,5
"49",49,"W_TR2","","fundsOlmikbEa","dialect","RW",1,"female","transparent","2017-04-19 18:00:47","0000-00-00 00:00:00",999,"o",5,0,0
"50",50,"END","00050QGlVP","fmEuklbaniOds","dialect","RW",0,"male","transparent","2017-04-20 13:01:40","2017-04-20 13:18:20",999,"o",5,1,5
"51",51,"END","00051xGHAZ","fOdmElabusnki","standard","RW",0,"female","transparent","2017-04-20 13:22:56","2017-04-20 13:42:33",999,"o",5,1,5
"52",52,"W_TR2","","imksufdaOnEbl","dialect","WR",1,"male","transparent","2017-04-20 14:24:21","0000-00-00 00:00:00",999,"o",5,0,0
"53",53,"END","00053USnPx","kialuEbdnsmOf","dialect","WR",1,"female","transparent","2017-04-20 14:42:33","2017-04-20 14:46:47",999,"o",1,1,1
"54",54,"END","00054mYJRd","OksulEdnaimbf","dialect","WR",0,"male","transparent","2017-04-20 15:33:59","2017-04-20 16:19:14",25,"m",5,4,5
"55",55,"END","00055jFgta","mafilduOnskbE","dialect","WR",0,"female","transparent","2017-04-20 15:37:45","2017-04-20 16:23:23",23,"m",5,4,5
"56",56,"END","00056fgPbV","kblEmnOfidasu","dialect","RW",1,"male","transparent","2017-04-20 15:46:24","2017-04-20 16:58:30",55,"m",5,5,5
"57",57,"END","00057nMVuW","bmaunfiEdslkO","dialect","RW",1,"female","transparent","2017-04-20 15:47:41","2017-04-20 16:48:47",33,"m",4,4,5
"58",58,"R_TR1","","OudmlbnakfsEi","dialect","RW",0,"male","transparent","2017-04-20 15:50:15","0000-00-00 00:00:00",23,"m",2,0,0
"59",59,"END","00059qUxyr","fiOdEnmaskubl","dialect","RW",0,"female","transparent","2017-04-20 16:05:08","2017-04-20 17:09:11",39,"m",5,5,5
"60",60,"END","00060AYNxh","ulOakbnsmEidf","dialect","WR",1,"male","transparent","2017-04-20 16:06:47","2017-04-20 16:40:13",40,"m",5,4,5
"61",61,"END","00061fWvNn","suifElOmdnbak","dialect","WR",1,"female","transparent","2017-04-20 16:10:39","2017-04-20 18:34:05",23,"m",2,5,4
"62",62,"SCRIPT","","mndaOksfuliEb","dialect","WR",0,"male","transparent","2017-04-20 16:18:21","0000-00-00 00:00:00",29,"m",5,0,0
"63",63,"END","00063ljOZm","ulidkmEnOfabs","dialect","WR",0,"female","transparent","2017-04-20 16:19:29","2017-04-20 18:01:42",65,"f",5,1,5
"64",64,"END","00064kOrSz","bkOfunaimsdlE","dialect","RW",1,"male","transparent","2017-04-20 16:23:32","2017-04-20 17:17:39",44,"f",5,4,5
"65",65,"END","00065EOLlv","dsukfEmaOlibn","dialect","RW",1,"female","transparent","2017-04-20 16:24:34","2017-04-20 17:10:07",39,"m",5,5,5
"66",66,"R_TR1","","OEkusbfnaimdl","dialect","RW",0,"male","transparent","2017-04-20 16:33:45","0000-00-00 00:00:00",36,"m",5,0,0
"67",67,"END","00067zLDPF","imkaldbEsOnfu","dialect","RW",0,"female","transparent","2017-04-20 16:37:36","2017-04-20 17:25:22",37,"f",5,4,5
"68",68,"END","00068PUirF","uEnkOsalibdmf","dialect","WR",1,"male","transparent","2017-04-20 16:47:50","2017-04-20 17:47:30",46,"f",4,5,5
"69",69,"END","00069NKjRd","mukEblfdOsani","dialect","WR",1,"female","transparent","2017-04-20 16:54:45","2017-04-20 18:04:58",20,"m",5,4,5
"70",70,"END","00070UyDuT","nfiasduOkbElm","dialect","WR",0,"male","transparent","2017-04-20 17:09:27","2017-04-20 17:39:41",44,"m",5,4,5
"71",71,"END","00071OzQZL","flnEskOmaduib","dialect","WR",0,"female","transparent","2017-04-20 17:12:38","2017-04-20 17:43:39",24,"f",5,5,5
"72",72,"END","00072AFIJp","ksilbdEfamOnu","dialect","RW",1,"male","transparent","2017-04-20 17:14:39","2017-04-20 17:48:44",36,"m",5,3,5
"73",73,"END","00073qcfGZ","lidksbmEfOnau","dialect","RW",1,"female","transparent","2017-04-20 17:20:15","2017-04-20 18:13:46",31,"m",5,5,5
"74",74,"R_TR1","","fkOsnlEmdbiau","dialect","RW",0,"male","transparent","2017-04-20 17:20:25","0000-00-00 00:00:00",34,"m",5,0,0
"75",75,"END","00075ODsGn","nEikbdauOsflm","dialect","RW",0,"female","transparent","2017-04-20 17:21:19","2017-04-20 18:03:01",39,"f",5,4,5
"76",76,"START","","sanbkOiflmdEu","dialect","WR",1,"male","transparent","2017-04-20 17:42:36","0000-00-00 00:00:00",0,"",0,0,0
