"input_id","session_number","language","self_rating"
"1","2","English","5"
"2","2","Spanish","1"
"3","3","English","5"
"4","4","English","5"
"5","5","English","5"
"6","6","English","5"
"7","7","English","5"
"8","8","English","5"
"9","8","French","2"
"10","8","Spanish","1"
"11","9","English","5"
"12","11","English","5"
"13","12","English","5"
"14","13","English","5"
"15","14","English","5"
"16","15","English","5"
"17","15","French","2"
"18","16","English","5"
"19","17","English","5"
"20","18","English","5"
"21","19","English","5"
"22","20","English","5"
"23","21","English","5"
"24","22","English","5"
"25","23","English","5"
"26","24","English","5"
"27","25","English","5"
"28","25","korean","1"
"29","26","English","5"
"30","27","English","4"
"31","28","English","5"
"32","29","English","5"
"33","31","English","5"
"34","34","English","5"
"35","34","x","1"
"36","35","English","1"
"37","36","English","1"
"38","37","English","1"
"39","38","English","1"
"40","39","English","1"
"41","40","English","1"
"42","41","English","1"
"43","42","English","1"
"44","43","English","5"
"45","45","English","5"
"46","45","Hindi","5"
"47","46","English","5"
"48","47","English","5"
"49","48","English","3"
"50","49","English","5"
"51","50","English","5"
"52","50","French","1"
"53","51","English","5"
"54","52","English","5"
"55","53","English","1"
"56","54","English","5"
"57","55","English","5"
"58","56","English","5"
"59","57","English","4"
"60","57","Portuguese","5"
"61","58","English","2"
"62","59","English","5"
"63","59","Spanish","2"
"64","60","English","5"
"65","61","English","2"
"66","62","English","5"
"67","63","English","5"
"68","64","English","5"
"69","65","English","5"
"70","66","English","5"
"71","67","English","5"
"72","67","Spanish","2"
"73","68","English","4"
"74","69","English","5"
"75","70","English","5"
"76","71","English","5"
"77","72","English","5"
"78","73","English","5"
"79","74","English","5"
"80","74","Spanish","1"
"81","75","English","5"
"82","75","French","1"
"83","75","Spanish","1"
"84","77","English","5"
"85","77","Portuguese","2"
"86","79","English","5"
"87","81","English","1"
"88","83","English","5"
"89","88","English","5"
"90","89","English","5"
"91","90","English","5"
"92","91","English","5"
"93","92","English","5"
"94","93","English","5"
"95","93","Spanish","4"
"96","93","German","2"
"97","94","English","5"
"98","95","English","5"
"99","96","English","5"
"100","96","French","1"
"101","97","English","5"
"102","97","Filipino","5"
"103","100","English","5"
"104","101","English","5"
"105","101","spanish","1"
"106","103","English","5"
"107","102","English","4"
"108","104","English","5"
"109","104","Italian","2"
"110","104","Spanish","1"
"111","104","Arabic","1"
"112","105","English","5"
"113","106","English","5"
"114","107","English","5"
"115","108","English","5"
"116","109","English","5"
"117","109","Cantonese","1"
"118","110","English","5"
"119","112","English","4"
"120","112","Hindi","5"
"121","113","English","5"
"122","113","spanish","2"
"123","114","English","5"
"124","115","English","5"
"125","116","English","3"
"126","116","Hindi","5"
"127","117","English","5"
