id,mean_line-drawing,mean_gray,mean_color,sd_line-drawing,sd_gray,sd_color
110. grasshopper,4.47,4.65,4.35,0.26,0.24,1.12
111. guitar,3.82,3.71,3.35,0.78,0.47,0.62
112. gun,3.59,3.82,3.94,1.01,0.4,0.68
113. hair,2.88,2.24,2.53,1.24,0.82,1.26
114. hammer,2.47,2.53,2.29,0.39,0.64,0.6
115. hand,2.94,3.53,3.06,0.93,1.01,1.68
116. hanger,1,1.82,1.12,0,6.15,0.11
117. harp,4.65,4.29,3.71,0.49,0.47,0.72
118. hat,1.82,1.88,1.65,0.53,0.36,0.24
119. heart,1,1.24,1.24,0,0.57,0.19
120. helicopter,4.47,4.59,4.65,0.39,0.38,0.24
121. horse,3.59,3.76,3.65,1.01,0.57,0.99
122. house,3.41,4,3.24,0.51,0.63,1.69
123. iron,3.53,3.41,3.06,0.39,0.88,1.31
124. ironing board,2.12,2.29,2.19,0.74,0.6,0.16
125. jacket,2.76,3.47,2.82,0.57,0.76,0.78
126. kangaroo,4.41,4.24,4.06,0.51,0.44,0.56
127. kettle,2.65,3.29,2.76,0.87,0.72,0.82
128. key,2.29,2.65,2.06,0.47,0.74,0.81
129. kite,2.53,3.24,3,1.14,0.69,1.38
130. knife,1.12,1.41,1.47,0.11,0.38,0.39
131. ladder,1.88,1.94,1.82,0.74,0.56,0.9
132. lamp,2,2.18,2.24,0.25,0.53,1.07
133. leaf,1.71,2.29,2.41,0.72,0.47,1.01
134. leg,2.88,2.53,2.76,1.11,1.26,1.32
135. lemon,1.12,1.06,1.41,0.24,0.06,1.01
136. leopard,3.94,4.12,4,1.81,0.74,0.75
137. lettuce,3.18,3,2.71,1.4,0.88,1.22
138. light bulb,2.82,3,2.59,0.9,0.5,1.13
139. light switch,2.47,2.65,2.47,0.26,0.74,0.64
140. lion,3.94,4.24,4.12,0.93,0.44,0.49
141. lips,1.53,2.18,2.24,0.39,1.28,2.07
142. lobster,4.65,4.47,4.18,0.24,0.51,0.4
143. lock,2.18,2.35,2.29,0.65,0.62,0.47
144. mitten,1.88,1.47,1.71,0.49,0.26,0.35
145. monkey,4.06,3.94,4.06,0.31,0.56,0.68
146. moon,1.35,1.12,1.65,0.74,0.24,1.49
147. motorcycle,4.82,4.88,4.53,0.15,0.11,0.64
148. mountain,2.65,2.94,2.76,0.74,1.68,1.07
149. mouse,3.47,3.76,3.41,0.39,1.07,1.26
150. mushroom,2.59,2.71,2.59,0.63,0.72,0.76
151. nail,1.35,1.06,1.29,0.37,0.06,0.35
152. nail file,2.24,1.94,2.18,1.69,0.56,1.28
153. necklace,1.82,2.65,1.35,0.53,9.87,0.37
154. needle,1.88,1.06,1.41,1.11,0.06,0.38
155. nose,2.06,3.12,2.47,1.68,1.36,1.51
156. nut,2.65,2.12,1.88,0.49,0.61,1.36
157. onion,1.88,1.88,2.29,0.99,0.99,1.35
158. orange,1.12,1.29,1,0.24,0.47,0
159. ostrich,4.18,3.94,3.88,0.53,0.81,0.61
160. owl,4.24,4.53,4.19,0.57,0.51,0.56
161. paintbrush,1.94,1.59,1.76,0.68,0.38,1.44
162. pants,1.76,2.35,2.12,0.32,0.49,0.49
163. peach,1.18,1.13,1.53,0.28,0.12,1.01
164. peacock,4.29,4.71,4.47,0.47,0.22,0.39
165. peanut,2.07,1.59,1.82,1.35,0.51,1.4
166. pear,1.12,1.18,1.47,0.11,0.15,1.01
167. pen,2.12,2.06,2.12,0.61,0.31,1.24
168. pencil,1.35,1.47,1.76,0.37,0.76,0.82
169. penguin,3.53,3.88,3.88,0.26,0.61,0.99
170. pepper,2.18,4,2.29,1.03,30.25,0.47
171. piano,4.82,4.59,4.06,0.15,0.38,1.31
172. pig,3.76,3.76,3.82,0.57,0.69,0.65
173. pineapple,3.18,3.29,3,1.65,1.22,1.13
174. pipe,1.88,2.18,2.24,0.49,0.65,0.69
175. pitcher,1.71,2.06,1.82,0.47,0.93,0.9
176. pliers,2.59,2.47,2.24,0.63,0.51,0.44
177. plug,2.59,2.82,2.65,1.26,0.4,0.49
178. pocketbook,2.59,2.82,2.47,0.63,0.4,0.51
179. pot,1.29,1.94,1.76,0.22,0.81,0.32
180. potato,1.29,1.06,1.06,0.47,0.06,0.06
181. pumpkin,2,2.06,2.53,0.63,0.31,1.14
182. rabbit,3.06,3.47,3.41,0.31,0.89,1.26
183. raccoon,4.29,4.24,4.12,0.47,0.44,0.61
184. record player,4.35,4.29,3.94,0.49,0.47,0.81
185. refrigerator,2.88,3,2.53,0.74,0.5,0.64
186. rhinoceros,4.12,4.24,4.12,0.74,0.44,0.49
187. ring,2,1.53,1.88,0.5,0.26,0.49
188. rocking chair,3.71,3.82,3,0.72,0.65,1
189. roller skate,4.29,4.12,3.65,0.47,0.74,1.24
190. rolling pin,1.59,1.53,2.12,0.38,0.39,1.49
191. rooster,3.82,4.35,4.12,0.9,0.37,0.74
192. ruler,1.24,1.53,1.47,0.32,0.39,0.26
193. sailboat,3.75,4,4.29,0.47,1,0.47
194. saltshaker,2.65,2.53,2.35,1.12,0.26,0.49
195. sandwich,2.94,3,2.65,0.81,0.63,1.12
196. saw,1.88,2.12,2.18,0.49,0.36,0.4
197. scissors,2.06,2.35,2.18,0.81,0.37,0.65
198. screw,2.59,3.12,2.88,1.51,0.99,1.11
199. screwdriver,2.24,1.88,2.24,0.69,0.49,0.69
200. sea horse,4.47,4.47,4.53,0.39,0.39,0.26
201. seal,3.41,3.06,3.06,1.13,1.06,1.43
202. sheep,3.65,3.88,3.65,0.49,0.49,0.99
203. shirt,2.76,3.06,2.35,0.69,0.43,0.62
204. shoe,3,3,2.41,1.13,0.75,1.01
205. skirt,1.06,1.71,1.65,0.06,0.72,0.49
206. skunk,4.47,4.12,4.24,0.64,0.49,0.44
207. sled,3.47,3.12,2.88,1.14,0.74,1.11
208. snail,2.94,3.56,3.29,0.56,1.06,1.22
209. snake,3.76,3.12,3.82,1.32,1.99,0.78
210. snowman,2.06,2.76,2.18,0.93,0.69,0.9
211. socks,1.35,1.94,1.81,0.24,0.43,0.56
212. spider,3.35,4.12,3.94,1.62,0.49,0.68
213. spinning wheel,4.76,4,3.82,0.32,0.5,1.03
214. spool of thread,3.29,2.59,2.35,1.6,0.63,1.24
215. spoon,1.06,1.41,1.06,0.06,0.26,0.06
216. squirrel,3.47,4.06,4.06,0.51,0.81,0.56
217. star,1.06,1.24,1.47,0.06,0.32,1.01
218. stool,2.18,2.65,2.24,0.53,0.24,0.32
219. stove,4.53,4.41,3.88,0.39,0.38,0.61
220. strawberry,2,1.71,2.12,0.88,0.47,0.86
221. suitcase,2.76,3.35,2.82,0.94,0.74,0.65
222. sun,1.47,1.29,1.71,0.76,0.35,1.6
223. swan,3.41,3.41,3.47,0.51,0.63,0.76
224. sweater,2.41,2.24,2.18,0.88,0.57,0.65
225. swing,2.24,2.82,1.76,1.07,24.78,0.32
226. table,1.53,2,1.24,0.39,1,0.19
227. telephone,3.18,3.29,3.06,1.03,0.35,0.68
228. television,3.18,3.53,3.24,1.4,0.89,1.57
229. tennis racket,2.88,2.47,2.35,0.86,0.51,0.37
230. thimble,2.59,2.53,2.12,1.51,0.76,0.86
231. thumb,2.59,2.76,2.29,1.13,1.82,1.47
232. tie,2.47,2.24,1.94,1.01,1.07,0.43
233. tiger,4.41,4.53,4.24,0.76,0.26,0.44
234. toaster,3,3.35,3.06,0.63,0.62,0.31
235. toe,2.12,2.24,2.18,0.86,1.07,1.53
236. tomato,1.24,1.18,1.47,0.32,0.28,1.01
237. toothbrush,1.65,1.53,1.41,0.37,0.26,0.51
238. top,2.53,1.88,2.12,1.26,0.49,0.36
239. traffic lights,4,3.53,3.06,0.5,0.39,0.81
240. train,4.76,4.88,4.47,0.32,0.11,1.01
241. tree,2.82,3.35,3,1.15,1.12,1.5
242. truck,2.65,2.88,3.06,0.99,0.74,1.06
243. trumpet,3.71,4.06,3.94,0.85,0.56,0.81
244. turtle,3.47,4.12,3.94,0.26,0.61,1.06
245. umbrella,2.59,3,2.41,0.76,0.88,0.51
246. vase,3.06,2.76,2.12,0.93,0.94,0.74
247. vest,2.47,2.94,2.82,0.51,0.68,1.28
248. violin,4.18,3.94,3.59,0.4,0.43,0.63
249. wagon,3.59,3.76,3.35,0.51,0.69,1.49
250. watch,3.24,3.06,2.65,0.94,0.81,0.99
251. watering can,2.29,3.06,2.65,0.72,0.68,0.87
252. watermelon,1.94,1.71,2.24,1.06,0.47,1.07
253. well,4.24,4.24,3.71,0.44,0.57,0.97
254. wheel,2.59,2.47,2.18,0.88,0.89,0.65
255. whistle,2.76,2.94,2.65,1.44,0.81,1.24
256. windmill,4.29,4.29,4.06,0.72,0.72,0.93
257. window,3.29,3.29,2.47,1.1,0.6,0.39
258. wine glass,1.41,1.53,1.35,0.26,0.51,0.37
259. wrench,1.82,1.88,2.18,0.65,0.36,1.15
260. zebra,4.18,4.29,4,0.78,0.47,0.5
